Florida A+M,MEAC
Mississippi,SEC
Michigan State,B10
Wyoming,MOW
Minnesota,B10
Georgia State,SBE
Virginia,ACC
William + Mary,CAA
Sam Houston State,SLD
Toledo,MAC
UTEP,USA
Indiana,B10
San Jose State,MOW
Texas,B12
Central Michigan,MAC
McNeese State,SLD
San Diego State,MOW
UL-Lafayette,SBE
Tulsa,USA
Idaho State,BSC
Western Illinois,MVC
Kansas,B12
Nicholls State,SLD
Florida State,ACC
Connecticut,AAC
Utah State,MOW
West Virginia,B12
Grambling,SWA
Texas-San Antonio,USA
Navy,IND
Arkansas State,SBE
Southern Illinois,MVC
Tulane,USA
S E Louisiana,SLD
Indiana State,MVC
South Carolina,SEC
Kent State,MAC
Jackson State,SWA
Clemson,ACC
Illinois,B10
Appalachian State,SOC
Montana State,BSC
Coastal Carolina,BSO
South Dakota,MVC
Cincinnati,AAC
UC-Davis,BSC
Wake Forest,ACC
Florida Atlantic,USA
Missouri,SEC
Washington,P12
Troy,SBE
Murray State,OVC
Wofford,SOC
Alabama State,SWA
Savannah State,MEAC
South Florida,AAC
Villanova,BEC
Towson,CAA
The Citadel,SOC
Army,IND
Air Force,MOW
Liberty,BSO
South Alabama,SBE
Southern Utah,BSC
Maryland,ACC
Rice,USA
Abilene Christian,SLD
UL-Monroe,SBE
Presbyterian,BSO
Arizona,P12
Wisconsin,B10
Texas State,SBE
Pittsburgh,ACC
Michigan,B10
Stanford,P12
Colorado State,MOW
Middle Tennessee,USA
Oregon,P12
Furman,SOC
Massachusetts,A10
East Carolina,USA
Syracuse,ACC
Northwestern,B10
Alcorn State,SWA
Florida,SEC
Miami-Ohio,MAC
Baylor,B12
Texas A+M,
U-C-F,AAC
Eastern Illinois,OVC
Ohio,MAC
Buffalo,MAC
Iowa State,B12
Jacksonville St,OVC
Louisiana State,SEC
Bethune-Cookman,MEAC
S-M-U,AAC
Northern Illinois,MAC
North Carolina,ACC
Georgia Tech,ACC
Portland State,BSC
Boise State,MOW
Penn State,B10
Youngstown State,MVC
Maine,CAA
Virginia Tech,ACC
Wagner,NEC
Virginia Military,SOC
Tennessee-Martin,OVC
Lamar,SLD
Oklahoma,B12
Delaware,CAA
Richmond,A10
Texas Christian,B12
Louisville,AAC
Nevada-Reno,MOW
Arkansas,SEC
New Mexico,MOW
So Carolina State,MEAC
Washington State,P12
Arkansas-Pine Bluff,SWA
Southern Cal,P12
Temple,AAC
Southern Univ,SWA
Oklahoma State,B12
Sacramento State,BSC
Northern Colorado,BSC
Miami-Florida,ACC
Samford,SOC
Howard,MEAC
Tennessee Tech,OVC
Vanderbilt,SEC
Southern Miss,USA
Oregon State,P12
California,P12
Akron,MAC
Eastern Washington,BSC
Old Dominion,USA
Cal-San Luis Obispo,BSC
Central Arkansas,SLD
No Carolina State,ACC
Georgia,SEC
Boston College,ACC
Austin Peay,OVC
Rutgers,AAC
No Carolina Central,MEAC
Brigham Young,IND
Fordham,A10
Ball State,MAC
Notre Dame,IND
U-A-B,USA
Duke,ACC
Prairie View,SWA
Colorado,P12
Mississippi State,SEC
Memphis,AAC
Marshall,USA
Morgan State,MEAC
Bowling Green,MAC
Auburn,SEC
Eastern Michigan,MAC
North Texas,USA
South Dakota State,MVC
Illinois State,MVC
Colgate,PLE
Missouri State,MVC
Nevada-Las Vegas,MOW
U.C.L.A.,P12
Florida Intl,USA
Western Carolina,SOC
Eastern Kentucky,OVC
Norfolk State,MEAC
S E Missouri St,OVC
James Madison,CAA
North Dakota St,MVC
Idaho,IND
Alabama A+M,SWA
Stony Brook,AEC
Weber State,BSC
Utah,P12
Louisiana Tech,USA
Arizona State,P12
Northwestern St(LA),SLD
New Hampshire,CAA
Charleston Southern,BSO
Northern Iowa,MVC
Ohio State,B10
Chattanooga,SOC
Purdue,B10
Georgia Southern,SBE
Northern Arizona,BSC
Hawaii,MOW
Kentucky,SEC
Elon,CAA
Nebraska,B10
New Mexico State,IND
Iowa,B10
Alabama,SEC
Western Kentucky,SBE
Houston,AAC
Fresno State,MOW
Western Michigan,MAC
Gardner-Webb,BSO
Kansas State,B12
Tennessee,SEC
Texas Tech,B12
Stephen F Austin,SLD
